,bug_id,bug_status,version,keywords,component,attachments
1325487,1325487,CLOSED-NEXTRELEASE,24,,evolution-data-server,"Screenshot from 2016-04-09 11-32-17.png, backtraces.tar.gz, evolution-console-output.txt"
1326047,1326047,CLOSED-CURRENTRELEASE,24,CommonBugs,gtk3,Screenshot from 2016-04-11 21-27-11.png
1327086,1327086,CLOSED-RAWHIDE,24,,python-pip,"allow-stripping-given-prefix-from-wheel-RECORD-files.patch, 0001-Rebased-to-a-new-upstream-version-8.1.2.patch"
1327615,1327615,CLOSED-ERRATA,24,,anaconda,"screenshot.png, anaconda.log, ifcfg.log, journalctl, nmcli_c_show_uuid_a29218f8-0805-492e-8fd5-bcdd76d31a4d"
1327847,1327847,CLOSED-ERRATA,24,,libreoffice,
1328076,1328076,CLOSED-ERRATA,24,Reopened,hadoop,"hadoop-native.patch, hadoop-dlopen-libjvm.patch, hadoop-dlopen-libjvm.patch"
1328484,1328484,CLOSED-ERRATA,24,,liveusb-creator,"screen1.png, diskpart.png"
1328746,1328746,CLOSED-ERRATA,24,,nautilus,oyt.ogv
1329332,1329332,CLOSED-ERRATA,24,,boinc-client,
1330010,1330010,CLOSED-RAWHIDE,25,,python-osprofiler,0001-Provide-Python-3-subpackage.patch
1330087,1330087,CLOSED-ERRATA,24,,pcsc-lite-ccid,
1330318,1330318,CLOSED-ERRATA,24,CommonBugs,selinux-policy,
1331077,1331077,CLOSED-ERRATA,24,,openssh,journalctl
1331120,1331120,CLOSED-RAWHIDE,24,,lorax,
1331898,1331898,CLOSED-ERRATA,24,"FutureFeature, Reopened, Triaged",python-docker-py,rebase-helper-debug.log
1332151,1332151,CLOSED-ERRATA,24,Reopened,evolution-data-server,"backtrace, cgroup, core_backtrace, dso_list, environ, exploitable, limits, maps, mountinfo, namespaces, open_fds, proc_pid_status, var_log_messages, valgrind.log"
1332491,1332491,CLOSED-ERRATA,24,Reopened,NetworkManager,
1334150,1334150,CLOSED-ERRATA,24,,gssproxy,
1334212,1334212,CLOSED-ERRATA,24,,gecode,conversion.patch
1334884,1334884,CLOSED-ERRATA,24,,NetworkManager,"0001-libnm-core-ip-config-normalize-may-fail-for-disabled.patch, 0001-libnm-core-ip-config-normalize-may-fail-for-disabled.patch"
1335046,1335046,CLOSED-ERRATA,24,,anaconda,
1335158,1335158,CLOSED-RAWHIDE,24,,libtimezonemap,
1335663,1335663,CLOSED-ERRATA,24,Reopened,evolution-data-server,
1336816,1336816,CLOSED-RAWHIDE,25,,python-django-authority,"python-django-authority.spec, python-django-authority.spec.diff, python-django-authority.spec, python-django-authority.spec, python-django-authority.spec, python-django-authority.spec"
1337243,1337243,CLOSED-CURRENTRELEASE,25,,openlmi-storage,
1337393,1337393,CLOSED-RAWHIDE,24,,xkeyboard-config,"move-indian-layouts-to-extra-xml.patch, before-and-after-moving-indian-keyboard-layouts-to-base.extras.xml.png, 0001-Move-Indian-keyboard-layouts-from-base.xml.in-to-bas.patch"
1337424,1337424,CLOSED-ERRATA,24,,NetworkManager,
1339959,1339959,CLOSED-RAWHIDE,24,,puppet,
1341305,1341305,CLOSED-ERRATA,24,,abrt,"backtrace, environ"
1341998,1341998,CLOSED-ERRATA,24,,libvirt,
1343243,1343243,CLOSED-ERRATA,24,Reopened,lxc,
1344812,1344812,CLOSED-ERRATA,24,,spin-kickstarts,
1345871,1345871,CLOSED-ERRATA,24,,gssproxy,
1347958,1347958,CLOSED-NEXTRELEASE,24,ZStream,initscripts,
1348533,1348533,CLOSED-CURRENTRELEASE,25,,sudo,sudo-1.8.17p1-locale.patch
1348963,1348963,CLOSED-ERRATA,24,,firefox,screenshot.png
1349130,1349130,CLOSED-RAWHIDE,24,,python-blivet,0001-Restore-the-correct-default-partition-table-type-for-AArch64-EFI.patch
1349184,1349184,CLOSED-CURRENTRELEASE,26,Tracking,distribution,
1349185,1349185,CLOSED-CURRENTRELEASE,26,Tracking,distribution,
1349186,1349186,CLOSED-CURRENTRELEASE,26,Tracking,distribution,
1349187,1349187,CLOSED-CURRENTRELEASE,26,Tracking,distribution,
1349188,1349188,CLOSED-CURRENTRELEASE,26,Tracking,distribution,
1349189,1349189,CLOSED-CURRENTRELEASE,26,Tracking,distribution,
1350100,1350100,CLOSED-ERRATA,24,,selinux-policy,
1352137,1352137,CLOSED-CURRENTRELEASE,24,,ModemManager,"EM7455_log.txt, file_1352137.txt"
1352271,1352271,CLOSED-NEXTRELEASE,24,,evolution,You_re_all_booked_-_38JFBB3J.mbox
1352339,1352339,CLOSED-ERRATA,24,Reopened,xorg-x11-xinit,xinitrc-common.patch
1352977,1352977,CLOSED-ERRATA,25,,qemu,
1353534,1353534,CLOSED-ERRATA,24,"Security, SecurityTracking",kernel,
1356152,1356152,CLOSED-RAWHIDE,24,,openblas,
1356646,1356646,CLOSED-CURRENTRELEASE,24,,gnome-terminal,
1357294,1357294,CLOSED-RAWHIDE,25,,python-heatclient,
1357822,1357822,CLOSED-ERRATA,24,,systemd,
1357947,1357947,CLOSED-ERRATA,24,,dhcp,
1360209,1360209,CLOSED-ERRATA,24,,dleyna-renderer,"backtrace, cgroup, core_backtrace, dso_list, environ, limits, maps, mountinfo, namespaces, open_fds, proc_pid_status, var_log_messages"
1362162,1362162,CLOSED-CURRENTRELEASE,24,,bind-dyndb-ldap,gdb.txt
1362165,1362165,CLOSED-ERRATA,24,Reopened,NetworkManager,"foo, NetworkManager-1:1.2.4-1.fc24.debug, NetworkManager-1:1.2.2-2.fc24.debug"
1363712,1363712,CLOSED-ERRATA,24,,fontopia,
1364504,1364504,CLOSED-RAWHIDE,25,"Reopened, Triaged",dnf,
1364580,1364580,CLOSED-CURRENTRELEASE,24,,wxGTK3,
1365933,1365933,CLOSED-ERRATA,24,Patch,coreutils,0001-ls-postpone-installation-of-signal-handlers.patch
1366023,1366023,CLOSED-ERRATA,25,,digikam,
1366510,1366510,CLOSED-ERRATA,25,,xorg-x11,joa-4.ogv
1366554,1366554,CLOSED-ERRATA,25,,lorax,
1367338,1367338,CLOSED-ERRATA,25,,gnome-maps,
1370051,1370051,CLOSED-ERRATA,25,,libreoffice,google docs vs soffice.png
1370118,1370118,CLOSED-ERRATA,25,,lorax,"Missing fonts.png, Missing fonts 2.png"
1370889,1370889,CLOSED-ERRATA,25,Reopened,libgweather,libgweather-3.18.1-metar.patch
1371237,1371237,CLOSED-ERRATA,24,,kernel,"kernel.patch, kernel.patch"
1372164,1372164,CLOSED-CURRENTRELEASE,25,,cockpit,unlockerro.png
1372527,1372527,CLOSED-ERRATA,25,,haskell-platform,build.log.gz
1373451,1373451,CLOSED-CURRENTRELEASE,24,,xorg-x11-server,cursors
1373485,1373485,CLOSED-ERRATA,24,"Patch, Reopened",dnsmasq,
1373737,1373737,CLOSED-NEXTRELEASE,25,,evolution-data-server,Bildschirmfoto von »2016-09-07 07-50-07«.png
1374160,1374160,CLOSED-ERRATA,25,,wayland,"joa-3.ogv, displa.log"
1374491,1374491,CLOSED-RAWHIDE,24,,ansible,playbook.yml
1374904,1374904,CLOSED-ERRATA,25,,gnome-shell,"Screenshot from 2016-09-08 19-14-04.png, Screenshot from 2016-09-08 19-14-54.png"
1375156,1375156,CLOSED-ERRATA,25,Reopened,selinux-policy,
1375305,1375305,CLOSED-ERRATA,25,Tracking,mozjs24,
1375794,1375794,CLOSED-ERRATA,26,Reopened,icaro,
1375830,1375830,CLOSED-NEXTRELEASE,26,,bijiben,
1376347,1376347,CLOSED-ERRATA,24,,iproute,
1376391,1376391,CLOSED-ERRATA,25,,file-roller,file-roller.webm
1376446,1376446,CLOSED-RAWHIDE,26,,NetworkManager,"nm_reproducer.py, 0001-device-fix-crash-reapplying-connection-to-slave-devi.patch"
1376746,1376746,CLOSED-ERRATA,24,,vinagre,
1376811,1376811,CLOSED-CURRENTRELEASE,25,,anaconda,
1377111,1377111,CLOSED-ERRATA,25,,NetworkManager,
1377399,1377399,CLOSED-ERRATA,24,,vagrant,
1377642,1377642,CLOSED-ERRATA,26,,thrift,
1377741,1377741,CLOSED-ERRATA,25,,gtk3,totem-offset.webm
1378204,1378204,CLOSED-ERRATA,24,,selinux-policy,
1378789,1378789,CLOSED-ERRATA,25,,mediawriter,"journalusb.log, out-16.ogv"
1378808,1378808,CLOSED-ERRATA,25,,mediawriter,"downsugge.png, ready.png, jor.log"
1379141,1379141,CLOSED-ERRATA,24,,fail2ban,"bug.log, systemd.log"
1379210,1379210,CLOSED-ERRATA,25,,mediawriter,med.log
1379863,1379863,CLOSED-ERRATA,24,Reopened,python-nss,
1380250,1380250,CLOSED-ERRATA,25,,gdm,"joa-5.ogv, jourr.log"
1380893,1380893,CLOSED-CURRENTRELEASE,25,Reopened,qemu,"file_1380893.txt, fedora_work.xml"
1381109,1381109,CLOSED-ERRATA,25,,llvm,
1381269,1381269,CLOSED-ERRATA,24,"Security, SecurityTracking",openjpeg2,
1382325,1382325,CLOSED-ERRATA,25,,spice-gtk,
1382401,1382401,CLOSED-ERRATA,25,i18n,libreoffice,garbled web preview.png
1382820,1382820,CLOSED-CURRENTRELEASE,25,,LiveCD - Xfce,
1382899,1382899,CLOSED-ERRATA,25,,control-center,nm-applet-wired.png
1383272,1383272,CLOSED-ERRATA,25,,compiz,117e44y.jpg
1383641,1383641,CLOSED-ERRATA,25,Reopened,lorax,
1384386,1384386,CLOSED-RAWHIDE,25,,dnf,
1384482,1384482,CLOSED-ERRATA,25,,mutter,"Snímek z 2016-10-11 11-55-35.png, screen.png"
1385290,1385290,CLOSED-CURRENTRELEASE,24,,nss-softokn,
1385849,1385849,CLOSED-ERRATA,25,Reopened,mediawriter,
1386078,1386078,CLOSED-RAWHIDE,25,"EasyFix, i18n, Triaged, UserExperience",dnf,
1386204,1386204,CLOSED-CURRENTRELEASE,25,,mutter,
1387392,1387392,CLOSED-CURRENTRELEASE,24,,cockpit,
1387950,1387950,CLOSED-CURRENTRELEASE,26,,kexec-tools,
1388568,1388568,CLOSED-ERRATA,25,,cloud-init,
1388745,1388745,CLOSED-CURRENTRELEASE,24,"Security, SecurityTracking",nss,
1388788,1388788,CLOSED-ERRATA,24,"Reopened, Security, SecurityTracking",gd,
1388850,1388850,CLOSED-ERRATA,25,,systemd,"jbug.png, jbug.log"
1388886,1388886,CLOSED-CURRENTRELEASE,24,,mutter-wayland,
1389838,1389838,CLOSED-ERRATA,26,,bash,
1390018,1390018,CLOSED-ERRATA,25,,xorg-x11-server,"backtrace, dmesg, dso_list, etc_X11_xorg_conf_d.tar.gz, usr_share_xorg_conf_d.tar.gz"
1390546,1390546,CLOSED-ERRATA,25,,man-pages,
1390590,1390590,CLOSED-RAWHIDE,25,,mail-notification,mn.patch
1390937,1390937,CLOSED-ERRATA,25,Reopened,kernel,
1391067,1391067,CLOSED-ERRATA,25,,mediawriter,"fmw.png, fmw2.png"
1391728,1391728,CLOSED-ERRATA,25,Reopened,389-ds-base,
1391871,1391871,CLOSED-ERRATA,24,,icecream,semanage_ports
1392233,1392233,CLOSED-RAWHIDE,24,,python-pyquery,
1394611,1394611,CLOSED-ERRATA,25,,mediawriter,"medi.log, 1114_1.jpg, 1114_2.jpg, Screencast from 11-14-2016 10:53:33 AM.webm"
1394938,1394938,CLOSED-ERRATA,25,,joystick-support,
1395768,1395768,CLOSED-CURRENTRELEASE,24,"Security, SecurityTracking",gstreamer,
1396467,1396467,CLOSED-ERRATA,25,,git-extras,
1396893,1396893,CLOSED-ERRATA,25,,ypbind,ypbind.diff
1397186,1397186,CLOSED-ERRATA,25,,bind,
1397598,1397598,CLOSED-ERRATA,25,,virt-manager,"windows07 on QEMU-KVM_261.png, windows07 on QEMU-KVM_262.png, vm1405.png"
1397603,1397603,CLOSED-CURRENTRELEASE,24,,pcp,
1397840,1397840,CLOSED-RAWHIDE,25,,firefox,Bildschirmfoto von »2016-11-23 13-16-57«.png
1397976,1397976,CLOSED-ERRATA,26,,python-feedparser,
1398006,1398006,CLOSED-ERRATA,25,,wayland,
1398710,1398710,CLOSED-ERRATA,25,,python-keyring,
1398738,1398738,CLOSED-ERRATA,25,,vala,
1398758,1398758,CLOSED-CURRENTRELEASE,24,,gnome-abrt,file_1398758.txt
1398760,1398760,CLOSED-CURRENTRELEASE,25,,libreoffice,"actual.png, between.png, all_displays.png"
1398832,1398832,CLOSED-ERRATA,25,FutureFeature,iproute,0001-Add-Makefile-patches-to-install-devlink-manpages.patch
1398833,1398833,CLOSED-ERRATA,25,FutureFeature,iproute,0001-Add-devlink-JSON-patches.patch
1398853,1398853,CLOSED-ERRATA,25,,selinux-policy-targeted,
1398854,1398854,CLOSED-CURRENTRELEASE,25,,selinux-policy-targeted,
1398903,1398903,CLOSED-ERRATA,25,,texlive,
1398987,1398987,CLOSED-ERRATA,25,,policycoreutils,
1400683,1400683,CLOSED-ERRATA,25,,libreoffice,
1401605,1401605,CLOSED-ERRATA,25,,realmd,"journal.log, 0001-Kerberos-fall-back-to-tcp-SRV-lookup.patch"
1402154,1402154,CLOSED-CURRENTRELEASE,24,Patch,python,
1403303,1403303,CLOSED-ERRATA,26,,python-proliantutils,0001-Update-to-2.2.0-and-provide-Python-3-subpackage.patch
1403500,1403500,CLOSED-ERRATA,25,Patch,qt5-qtbase,"backtrace, cgroup, core_backtrace, dso_list, environ, limits, maps, mountinfo, namespaces, open_fds, proc_pid_status, var_log_messages, 84ea00d47049d882f2fabf1446ec6c6eb5fe3038.patch"
1403624,1403624,CLOSED-CURRENTRELEASE,25,,terminator,
1404285,1404285,CLOSED-ERRATA,26,,tracker,"backtrace, cgroup, core_backtrace, dso_list, environ, limits, maps, mountinfo, namespaces, open_fds, proc_pid_status, var_log_messages"
1404451,1404451,CLOSED-ERRATA,25,,oci-register-machine,
1404466,1404466,CLOSED-RAWHIDE,25,,cryptopp,0001-Include-upstream-RDSEED-patch-to-correct-FTBFS-BZ-14.patch
1404622,1404622,CLOSED-ERRATA,26,,pybox2d,pybox2d.spec
1404699,1404699,CLOSED-ERRATA,25,,waf,
1404918,1404918,CLOSED-ERRATA,26,Reopened,python3,"fedora-cpython-force-c-utf-8.diff, fedora-cpython-force-c-utf-8.diff, fedora-cpython-PYTHONALLOWCLOCALE.diff"
1405627,1405627,CLOSED-ERRATA,25,,jnr-x86asm,0001-Add-missing-BuildRequires-to-fix-FTBFS-BZ-1405627.patch
1405629,1405629,CLOSED-NEXTRELEASE,25,,ibus,
1405759,1405759,CLOSED-CURRENTRELEASE,25,,totem,"before-after.png, totem-properties-page.patch"
1406435,1406435,CLOSED-ERRATA,25,,oci-systemd-hook,
1406480,1406480,CLOSED-RAWHIDE,25,,netty-tcnative,"0001-Add-missing-BuildRequires-to-fix-FTBFS-BZ-1406480.patch, 0001-Update-to-use-OpenSSL-1.0-compatibility-package-to-f.patch"
1408271,1408271,CLOSED-CURRENTRELEASE,25,,libosinfo,
1408666,1408666,CLOSED-ERRATA,25,,pykickstart,
1408946,1408946,CLOSED-ERRATA,24,,gsmartcontrol,"fixes-crash-on-startup-at-scan-time-a-parser-crash_v1.patch, fixes-crash-on-startup-at-scan-time-a-parser-crash_v2.patch, Upgrade-to-0.8.8-r116-svn.patch"
1409177,1409177,CLOSED-RAWHIDE,26,,anaconda,
1410159,1410159,CLOSED-CURRENTRELEASE,25,,rakudo-star,
1410759,1410759,CLOSED-ERRATA,25,,xorg-x11-server,"backtrace, cgroup, core_backtrace, dso_list, environ, limits, maps, mountinfo, namespaces, open_fds, proc_pid_status, var_log_messages"
1410815,1410815,CLOSED-ERRATA,26,,python-django-stopforumspam,python-django-stopforumspam.spec
1410883,1410883,CLOSED-ERRATA,25,,httpd,
1410938,1410938,CLOSED-ERRATA,24,,keycloak-httpd-client-install,
1410940,1410940,CLOSED-ERRATA,25,,keycloak-httpd-client-install,
1410983,1410983,CLOSED-ERRATA,25,,texlive,
1411082,1411082,CLOSED-RAWHIDE,25,,gparted,0001-Fix-package-URL.patch
1411432,1411432,CLOSED-ERRATA,26,"Documentation, EasyFix, Triaged",dnf,
1412033,1412033,CLOSED-ERRATA,25,,hyperv-daemons,
1412125,1412125,CLOSED-CURRENTRELEASE,25,"Security, SecurityTracking",openssl,
1412148,1412148,CLOSED-ERRATA,25,,docker,
1412841,1412841,CLOSED-RAWHIDE,25,Reopened,rubygem-hpricot,"0001-Include-pregenerated-man-page-to-eliminate-dependenc.patch, 0001-Eliminate-unnecessary-build-time-dependency-on-ragel.patch, rubygem-hpricot-conditional-ragel.patch"
1413705,1413705,CLOSED-CURRENTRELEASE,25,,NetworkManager-openvpn,"journal.log, routes.log, VPN.nm.ini"
1413796,1413796,CLOSED-ERRATA,25,,mediawriter,
1414019,1414019,CLOSED-ERRATA,25,,mod_auth_mellon,
1414528,1414528,CLOSED-RAWHIDE,25,,gnome-doc-utils,0001-Add-BuildRequires-python-to-fix-FTBFS-BZ-1414528.patch
1414545,1414545,CLOSED-RAWHIDE,25,,itstool,0001-Add-BuildRequires-python-to-fix-FTBFS-BZ-1414545.patch
1414586,1414586,CLOSED-RAWHIDE,25,,libxcb,0001-Add-BuildRequires-python-to-fix-FTBFS-BZ-1414586.patch
1414611,1414611,CLOSED-ERRATA,25,,embree,
1414792,1414792,CLOSED-ERRATA,25,,git,
1415000,1415000,CLOSED-ERRATA,25,,realmd,0001-Add-BuildRequires-python-to-fix-FTBFS-BZ-1415000.patch
1415090,1415090,CLOSED-ERRATA,25,,gssproxy,
1415295,1415295,CLOSED-ERRATA,24,,lsyncd,"lsyncd.conf, lsyncd.log, lsyncd.conf.jt, lsynctest.conf"
1415397,1415397,CLOSED-ERRATA,25,,kernel,ds2490-dma-able.patch
1415496,1415496,CLOSED-ERRATA,25,Reopened,rpcbind,
1415796,1415796,CLOSED-ERRATA,25,,libinput,palm-rejection-fail.txt
1416108,1416108,CLOSED-ERRATA,26,,kernel,
1416318,1416318,CLOSED-CURRENTRELEASE,25,,selinux-policy,
1416571,1416571,CLOSED-ERRATA,25,,bzr,
1417364,1417364,CLOSED-ERRATA,25,,firefox,
1417587,1417587,CLOSED-ERRATA,25,"Security, SecurityTracking",links,
1417753,1417753,CLOSED-RAWHIDE,26,Regression,gcc,bz1417753.c
1418027,1418027,CLOSED-ERRATA,25,,rtl-sdr,rtl-sdr.spec.patch
1418102,1418102,CLOSED-RAWHIDE,25,,qtwebkit,0001-Add-BuildRequires-python-to-fix-FTBFS-BZ-1418102.patch
1418219,1418219,CLOSED-CURRENTRELEASE,25,,gnome-terminal,Screenshot from 2017-02-01 16-50-54.png
1419175,1419175,CLOSED-ERRATA,26,,system-config-printer,
1419316,1419316,CLOSED-CURRENTRELEASE,25,,gnome-desktop,journal.txt
1420347,1420347,CLOSED-CURRENTRELEASE,24,"Security, SecurityTracking",gradle,
1420912,1420912,CLOSED-ERRATA,25,,rpcbind,
1421241,1421241,CLOSED-ERRATA,25,,NetworkManager-openvpn,
1421333,1421333,CLOSED-ERRATA,26,Reopened,container-selinux,
1421618,1421618,CLOSED-RAWHIDE,25,Triaged,dnf,
1421856,1421856,CLOSED-NEXTRELEASE,25,,Package Review,
1422448,1422448,CLOSED-ERRATA,25,,atomic,
1422771,1422771,CLOSED-ERRATA,25,,sendmail,
1423356,1423356,CLOSED-RAWHIDE,26,,postgresql,
1423793,1423793,CLOSED-ERRATA,26,,js,"<fdopen>, <fdopen>, <fdopen>"
1423839,1423839,CLOSED-RAWHIDE,26,,libarchive,"<fdopen>, <fdopen>, <fdopen>"
1426477,1426477,CLOSED-CURRENTRELEASE,26,"Regression, Reopened, TestBlocker",libvirt,
1426836,1426836,CLOSED-CURRENTRELEASE,25,,systemd,
1427835,1427835,CLOSED-ERRATA,25,,terminator,
1428492,1428492,CLOSED-ERRATA,25,Reopened,cloud-init,
1429122,1429122,CLOSED-ERRATA,25,,pacrunner,
1429341,1429341,CLOSED-ERRATA,26,,selinux-policy,
1430093,1430093,CLOSED-ERRATA,26,,python-ipykernel,"0001-Package-the-kernel-json-files.patch, 0001-Package-the-kernel-json-files.patch"
1430248,1430248,CLOSED-ERRATA,25,Reopened,pcp,
1430649,1430649,CLOSED-NEXTRELEASE,25,,lorax,
1430761,1430761,CLOSED-ERRATA,26,,samba,
1430928,1430928,CLOSED-ERRATA,25,,gnome-autoar,
1431004,1431004,CLOSED-ERRATA,26,,scl-utils,
1431191,1431191,CLOSED-ERRATA,25,,setroubleshoot-plugins,
1431272,1431272,CLOSED-ERRATA,26,,nfs-utils,
1431486,1431486,CLOSED-ERRATA,25,"EasyFix, Triaged",dnf,
1431493,1431493,CLOSED-RAWHIDE,25,"EasyFix, Triaged",dnf-plugins-extras,
1431749,1431749,CLOSED-ERRATA,24,,gnupg2,
1431930,1431930,CLOSED-CURRENTRELEASE,25,,docker,journal.txt
1432996,1432996,CLOSED-ERRATA,25,,d-feet,"backtrace, cgroup, core_backtrace, dso_list, environ, exploitable, limits, maps, mountinfo, namespaces, open_fds, proc_pid_status, var_log_messages"
1433033,1433033,CLOSED-NEXTRELEASE,25,,libinput,
1433153,1433153,CLOSED-ERRATA,26,,ipython,
1434470,1434470,CLOSED-ERRATA,25,,lldb,
1434897,1434897,CLOSED-ERRATA,26,,docker,dockersearch.txt
1435127,1435127,CLOSED-ERRATA,25,,policycoreutils,
1435310,1435310,CLOSED-ERRATA,26,,selinux-policy,
1435432,1435432,CLOSED-ERRATA,25,,qemu,"strace, strace.xz"
1435785,1435785,CLOSED-NEXTRELEASE,25,Reopened,dnf,
1435855,1435855,CLOSED-ERRATA,25,,libvirt,
1436110,1436110,CLOSED-ERRATA,26,,libsolv,
1436446,1436446,CLOSED-RAWHIDE,25,,glibc,
1436810,1436810,CLOSED-CURRENTRELEASE,25,ManPageChange,beakerlib,
1437601,1437601,CLOSED-ERRATA,26,,livecd-tools,
