,bug_id,bug_status,version,keywords,component,attachments
1146232,1146232,CLOSED-ERRATA,26,"CommonBugs, Triaged",libvirt,"Screenshot_test-day-vm_2014-09-24_13:32:40.png, yum-update.log"
1148627,1148627,CLOSED-RAWHIDE,24,Triaged,dnf,"debugdata.tar.bz2, file_1148627.txt"
1200122,1200122,CLOSED-CURRENTRELEASE,24,,fedora-release,
1228354,1228354,CLOSED-CURRENTRELEASE,25,,cockpit,
1230431,1230431,CLOSED-CURRENTRELEASE,24,Tracking,distribution,
1230432,1230432,CLOSED-CURRENTRELEASE,24,Tracking,distribution,
1230433,1230433,CLOSED-CURRENTRELEASE,24,Tracking,distribution,
1230434,1230434,CLOSED-CURRENTRELEASE,24,Tracking,distribution,
1230435,1230435,CLOSED-CURRENTRELEASE,24,Tracking,distribution,
1230436,1230436,CLOSED-CURRENTRELEASE,24,Tracking,distribution,
1251365,1251365,CLOSED-ERRATA,24,,dleyna-server,"backtrace, cgroup, core_backtrace, dso_list, environ, limits, maps, mountinfo, namespaces, open_fds, proc_pid_status, var_log_messages"
1254966,1254966,CLOSED-ERRATA,24,"Triaged, UserExperience",dnf,
1262665,1262665,CLOSED-RAWHIDE,24,,systemd,systemd-journal-gateway_var-lib-systemd-journal-upload_should_be_755.patch
1263350,1263350,CLOSED-ERRATA,24,,selinux-policy,
1277284,1277284,CLOSED-CURRENTRELEASE,25,Tracking,distribution,
1277285,1277285,CLOSED-CURRENTRELEASE,25,Tracking,distribution,
1277287,1277287,CLOSED-CURRENTRELEASE,25,Tracking,distribution,
1277288,1277288,CLOSED-CURRENTRELEASE,25,Tracking,distribution,
1277289,1277289,CLOSED-CURRENTRELEASE,25,Tracking,distribution,
1277290,1277290,CLOSED-CURRENTRELEASE,25,Tracking,distribution,
1281377,1281377,CLOSED-CURRENTRELEASE,24,,Changes Tracking,
1284259,1284259,CLOSED-ERRATA,24,Reopened,seabios,"SeaBIOS-1.9.0.png, Machine-UUID-format-match-SeaBIOS-1.9.patch, Machine-UUID-format-match-SeaBIOS-1.8.patch, SeaBIOS-1.9-UUID-OK.png"
1288850,1288850,CLOSED-ERRATA,24,CommonBugs,gnome-settings-daemon,"backtrace, cgroup, core_backtrace, dso_list, environ, exploitable, limits, maps, mountinfo, namespaces, open_fds, proc_pid_status, var_log_messages"
1291783,1291783,CLOSED-ERRATA,24,Reopened,desktop-file-utils,
1292547,1292547,CLOSED-ERRATA,24,,pyhunspell,
1296750,1296750,CLOSED-CURRENTRELEASE,24,,pcp,repro.sh
1297685,1297685,CLOSED-CURRENTRELEASE,24,,Changes Tracking,
1298250,1298250,CLOSED-RAWHIDE,24,,libtevent,Build-Python-3-package.patch
1301033,1301033,CLOSED-NEXTRELEASE,24,,python3,
1302100,1302100,CLOSED-CURRENTRELEASE,24,,boost,
1302179,1302179,CLOSED-CURRENTRELEASE,24,,fedora-release,
1305739,1305739,CLOSED-RAWHIDE,24,,doxygen,
1306365,1306365,CLOSED-ERRATA,24,,gtk3,gdk-wayland-scroll-direction.patch
1307307,1307307,CLOSED-NEXTRELEASE,24,,adplug,"<fdopen>, <fdopen>, <fdopen>"
1308522,1308522,CLOSED-RAWHIDE,24,,python-zope-contenttype,
1309243,1309243,CLOSED-RAWHIDE,24,,python-semantic_version,
1309249,1309249,CLOSED-RAWHIDE,24,,python-simpletal,
1309257,1309257,CLOSED-RAWHIDE,24,Reopened,python-socketpool,
1309259,1309259,CLOSED-RAWHIDE,24,,python-swiftclient,0001-Bug-1309259-python-swiftclient-Provide-a-Python-3-su.patch
1309265,1309265,CLOSED-ERRATA,24,,python-upoints,"0001-Fix-Python3-patch-to-use-UTF-8-for-README.patch, 0001-Fix-Python3-patch-to-use-UTF-8-for-README.patch"
1309310,1309310,CLOSED-RAWHIDE,24,,python-troveclient,
1309381,1309381,CLOSED-RAWHIDE,24,,python-pycadf,
1311228,1311228,CLOSED-CURRENTRELEASE,25,,python-cassandra-driver,0001-update-python-version-and-driver-version.patch
1311552,1311552,CLOSED-RAWHIDE,25,,python-django-pipeline,"python-django-pipeline.spec, python-django-pipeline.spec, python-django-pipeline.spec"
1313085,1313085,CLOSED-ERRATA,24,,systemd,
1314525,1314525,CLOSED-ERRATA,24,,control-center,cc-vpn.png
1314664,1314664,CLOSED-RAWHIDE,24,,firefox,
1316488,1316488,CLOSED-ERRATA,24,Reopened,NetworkManager,0001-device-fix-handling-of-available-connections.patch
1317067,1317067,CLOSED-ERRATA,24,,comps,"anaconda.log, dnf.log, dnf.rpm.log, ifcfg.log, journal.log, lvm.log, packaging.log, program.log, storage.log, syslog, X.log"
1317886,1317886,CLOSED-RAWHIDE,25,,python-restsh,0001-Provide-a-Python-3-subpackage.patch
1317896,1317896,CLOSED-RAWHIDE,25,,python-zope-processlifetime,"python-zope-processlifetime-python3.patch, python-zope-processlifetime-py3.patch, python-zope-processlifetime-py3.patch"
1318303,1318303,CLOSED-ERRATA,24,,rolekit,
1319229,1319229,CLOSED-RAWHIDE,25,,viewmtn,
1319357,1319357,CLOSED-RAWHIDE,24,,libmspack,
1319459,1319459,CLOSED-ERRATA,24,Reopened,selinux-policy,
1322194,1322194,CLOSED-NEXTRELEASE,24,Translation,anaconda,
1322471,1322471,CLOSED-ERRATA,25,,git-review,"0001-move-to-python3.patch, 0001-move-to-python3.patch, 0001-Modernized-specfile-and-Python-3-support-for-Fedora.patch"
1322648,1322648,CLOSED-RAWHIDE,24,,libtimezonemap,
1323171,1323171,CLOSED-ERRATA,25,,python-xml2rfc,
1323228,1323228,CLOSED-ERRATA,25,Reopened,FlightCrew,"Flightcrew-plugin-py3-sheband.patch, Flightcrew-all-shebangs.patch, 0008-FlightCrew-plugin-Change-shebang-python3.patch, 0001-Fixing-python-shebang.patch"
1323257,1323257,CLOSED-RAWHIDE,25,,marisa,"py3package.patch, renamebindings.patch"
1323598,1323598,CLOSED-ERRATA,24,,wxGTK3,curaissues.png
1325085,1325085,CLOSED-ERRATA,24,,libvirt,"build.log, root.log"
