bug_id,bug_status,version,keywords,short_desc,component,attachments
1025976,CLOSED-CURRENTRELEASE,25,Reopened,[USB] [ACPI] computer wakes up (resumes) immediately from suspend after using USB 3.0,kernel,"lspci-vv.1-after-boot.txt, dmesg.1-after-boot.txt, lsusb-vv.1-after-boot.txt, file_1025976.txt, lspci-vv.2-after-1st-resume.txt, dmesg.2-after-1st-resume.txt, lsusb-vv.2-after-1st-resume.txt, lspci-vv.3-after-connecting-disk.txt, dmesg.3-after-connecting-disk.txt, lsusb-vv.3-after-connecting-disk.txt, lsmod.3-after-connecting-disk.txt, lspci-vv.4-after-disconnecting-disk.txt, dmesg.4-after-disconnecting-disk.txt, lsusb-vv.4-after-disconnecting-disk.txt, lspci-vv.6-after-2nd-resume.txt, dmesg.6-after-2nd-resume.txt, lsusb-vv.6-after-2nd-resume.txt"
1033778,CLOSED-ERRATA,25,"CommonBugs, Reopened",Resizing of volumes with unknown or no filesystem is allowed in guided partitioning with no special warning,python-blivet,"ss.png, anaconda.log, program.log, storage.log, storage.state, Screenshot from 2016-02-08 13-59-26.png, Screenshot from 2017-03-06 16-42-46.png"
1038683,CLOSED-ERRATA,24,Reopened,golang appears to contain an ECC implementation,golang,
1044119,CLOSED-CURRENTRELEASE,25,Reopened,crash bundles gdb,crash,
1046968,CLOSED-CURRENTRELEASE,26,,Lengthy boot delay due to innd-expire.service,inn,
1047767,CLOSED-ERRATA,24,Reopened,[abrt] audacious: header_read(): audacious killed by SIGSEGV,libsndfile,"backtrace, cgroup, core_backtrace, dso_list, environ, exploitable, limits, maps, open_fds, proc_pid_status, var_log_messages"
1048548,CLOSED-ERRATA,24,Reopened,"dump spits out ""DUMP: mount: bad UUID"" when dumping a ext4 filesystem",dump,patch
1048973,CLOSED-ERRATA,24,Reopened,[rfe] repo priorities and costs,dnf,
1053550,CLOSED-ERRATA,25,Reopened,"[sr] the kexec-tools package has Serbian translations in Latin script in the wrong directory sr@Latn, correct is sr@latin",kexec-tools,serbian-is-shown-in-cyrillic-instead-of-latin.png
1057906,CLOSED-CURRENTRELEASE,24,,provide default configuration files or at least some kind of documentation,bluez,
1060323,CLOSED-ERRATA,26,Reopened,rootplot-debuginfo-2.2.1-9 is empty,rootplot,
1062943,CLOSED-CURRENTRELEASE,24,Reopened,libvirt can not start a VM with non-ACSII chars name: Invalid machine name (from systemd),libvirt,test_unicode_name.py
1063278,CLOSED-ERRATA,25,Reopened,sss_ssh_knownhostsproxy doesn't fall back to ipv4,sssd,0001-knownhostsproxy-use-all-of-the-getaddrinfo.patch
1063298,CLOSED-ERRATA,24,"Patch, Reopened",MAC address incorrectly displayed,iftop,0001-display-hardware-address-correctly.patch
1068561,CLOSED-ERRATA,26,,thrift: Switch to java-headless (build)requires,thrift,
1068697,CLOSED-ERRATA,25,,"Before reading/writing from stdin/stdout, turn off O_NONBLOCK please, for robustness reasons",bash,
1071786,CLOSED-CURRENTRELEASE,25,Reopened,"Huawei USB dongle ""seen"" as USB stick",usb_modeswitch-data,
1074039,CLOSED-RAWHIDE,25,"Patch, Regression, Reopened","Install with owner write permissions, fixes -debuginfo.",tkdnd,Install-with-owner-write-permissions-fixes--debugi.patch
1076945,CLOSED-ERRATA,25,,Arabic Lam-Alef,ibus-m17n,ara.png
1077768,CLOSED-CURRENTRELEASE,25,Reopened,wesnoth bundles lua,wesnoth,
1077865,CLOSED-ERRATA,25,Reopened,Build with system gl2ps instead of bundled one,qwtplot3d,Build-with-system-gl2ps-instead-of-bundled-one.patch
1078903,CLOSED-CURRENTRELEASE,25,,jQuery,Changes Tracking,
1082186,CLOSED-CANTFIX,24,Reopened,java-1.8.0-openjdk: Assertion failure in javadoc,java-1.8.0-openjdk,
1087086,CLOSED-ERRATA,24,,lshw seg fault unless use -disable SCSI option,lshw,lshw-bug.txt
1087182,CLOSED-ERRATA,25,"Security, SecurityTracking",CVE-2013-5855 mojarra: Mojarra JSF2: XSS due to insufficient escaping of user-supplied content in outputText tags and EL expressions [fedora-all],mojarra,
1088675,CLOSED-ERRATA,24,Reopened,Please move nm-l2tp-auth-dialog (which depends on gtk3) to a subpackage,NetworkManager-l2tp,
1092451,CLOSED-CURRENTRELEASE,25,Reopened,"ZTE MF195E USB dongle ""seen"" as USB stick",usb_modeswitch-data,mobile-broadband-by-ZTE-MF195E.png
1093064,CLOSED-WONTFIX,24,Reopened,Please package Thunderbird EDS Contacts Integration for Fedora,thunderbird,
1094143,CLOSED-ERRATA,25,Reopened,"Desktop centric polkit ejabberdctl policy file, prevents server use",ejabberd,
1099582,CLOSED-CURRENTRELEASE,24,,D-Bus introspection lacks properties,firewalld,
1102637,CLOSED-RAWHIDE,25,"Regression, Reopened",rsync bundles zlib,rsync,
1103622,CLOSED-ERRATA,24,,sandbox -X is completely broken,policycoreutils,
1107770,CLOSED-ERRATA,24,Reopened,Is it possible to build suricata for EPEL?,suricata,"suricata-epel-7.patch, suricata-user.patch"
1110780,CLOSED-RAWHIDE,25,"Reopened, Triaged",dnf swap not supported,dnf,
1112292,CLOSED-ERRATA,25,,Cannot pass arguments to gnokii-smsd,gnokii,
1112340,CLOSED-RAWHIDE,25,,SMFIP_RCPT_REJ milter option is ignored,sendmail,
1114156,CLOSED-CURRENTRELEASE,24,Reopened,EFI: Problem loading in-kernel X.509 certificate (-22),kernel,"dmesg-3.10.0-327.22.2.el7.x86_64-cropped.txt, dmesg.20160728.log"
1114328,CLOSED-ERRATA,25,Reopened,picojson-debuginfo is empty,picojson,
1114793,CLOSED-CURRENTRELEASE,24,,"drive-mirror with ""mode"":""existing"" fails poorly if destination is not large enough",qemu,
1116553,CLOSED-ERRATA,25,Reopened,Make available for EPEL-6,dictd,epel6.patch
1119134,CLOSED-ERRATA,25,Patch,gsmartcontrol bundles pcrecpp,gsmartcontrol,Use-system-pcrecpp-1119134.patch
1119761,CLOSED-CURRENTRELEASE,25,Reopened,python3 in EPEL,python3,
1122096,CLOSED-NEXTRELEASE,25,Reopened,Ability to demote/promote multiple chapters at once in writer explorer,libreoffice,
1128365,CLOSED-ERRATA,25,Reopened,setup alternatives for wxrc and wx-config,wxGTK,
1128835,CLOSED-RAWHIDE,24,Reopened,Add Addon metadata for GNOME Software,python-pysmell,
1132933,CLOSED-CURRENTRELEASE,25,Reopened,systemd policy reuses SELinux kernel AV (system),selinux-policy,
1132973,CLOSED-ERRATA,24,,please package cp2k_shell,cp2k,
1133188,CLOSED-WONTFIX,24,Reopened,Select English as the default language for India geolocation,langtable,Fedora-21-anacoda.png
1133231,CLOSED-ERRATA,24,,beep only works for root,beep,
1133702,CLOSED-RAWHIDE,25,,[PATCH] build kross-ruby with ruby-2.x,kross-interpreters,0001-Enable-kross-ruby-with-ruby-2.x-F19.patch
1135681,CLOSED-ERRATA,26,Reopened,Remove mock dependency from bodhi-client,bodhi,
1136092,CLOSED-WONTFIX,25,,SELinux is preventing php-fpm from 'create' accesses on the directory gavrilovmv.,selinux-policy,
1138463,CLOSED-ERRATA,25,Reopened,Some -devel sub-packages are missing %{?_isa} requires,mesa,
1141530,CLOSED-ERRATA,24,Reopened,[abrt] rabbitvcs-core: log.py:1598:log_factory:KeyError: 'unknown',rabbitvcs,"backtrace, environ"
1146030,CLOSED-ERRATA,24,,split out snmp agent into a subpackage,389-ds-base,389-ds-base-snmp.patch
1146232,CLOSED-ERRATA,26,"CommonBugs, Triaged",no VM networking; 'default' network in the VM conflicts with 'default' network on the host,libvirt,"Screenshot_test-day-vm_2014-09-24_13:32:40.png, yum-update.log"
1146822,CLOSED-CURRENTRELEASE,24,,Capability to add local privileged groups to domain users or groups,glibc,
1148627,CLOSED-RAWHIDE,24,Triaged,dnf doesn't provide enough info to understand the package dependencies,dnf,"debugdata.tar.bz2, file_1148627.txt"
1149905,CLOSED-ERRATA,25,,"[Wayland][Regression] environment is incomplete, missing some entries from PATH, GPG_AGENT_INFO, SSH_AUTH_SOCK, ...",gnome-session,
1151651,CLOSED-NEXTRELEASE,24,Reopened,localectl: globally changing locale/keymap does not affect initramfs,systemd,
1153948,CLOSED-ERRATA,25,"FutureFeature, Reopened, Triaged",ghc-happstack-server-7.4.6.2 is available,ghc-happstack-server,"0001-Update-to-7.4.3-1153948.patch, 0001-Update-to-7.4.4-1153948.patch, 0001-Update-to-7.4.5-1153948.patch, 0001-Update-to-7.4.6-1153948.patch, 0001-Update-to-7.4.6.1-1153948.patch, rebase-helper-debug.log"
1154526,CLOSED-NEXTRELEASE,24,Reopened,fi_FI compose keys not working after installation,gnome-shell,
1157720,CLOSED-CURRENTRELEASE,24,Reopened,NSS should enforce the system-wide crypto policy,nss,"nss-check-policy-file.patch, nss-util-check-policy-file.patch, add-to-%build-nss.spec, policy.cfg, check-policy-file.patch, patch.txt, policyFileExports.patch, allChanges.patch, allChanges.patch, nss-conditionally-ignore-system-policy.patch, tests-check-policy-file.patch, tests-data-adjust-for-policy.patch, specfileChanges.patch, enforce_vs_ignore_diffs.patch, tests-check-policy-file.patch, allChanges.patch, tests-check-policy-file.patch, specfile.patch, nss.spec, specfile.patch, adjust4policy.txt, tests-check-policy-file.patch, specfile.patch, nss.spec, nss-conditionally-ignore-system-policy.patch, nss-conditionally-ignore-system-policy.patch, specfile.patch, fix-policy-load-modules.patch"
1158652,CLOSED-ERRATA,24,Reopened,Remove check dependency,libdmapsharing,
1160011,CLOSED-ERRATA,26,"Reopened, Triaged",removal in install transaction,dnf,
1160891,CLOSED-ERRATA,24,"CommonBugs, Reopened",Only uses upper left part of the display,initial-setup,initial-setup.log
1161423,CLOSED-RAWHIDE,24,Reopened,[abrt] bash: wait_builtin(): bash killed by SIGABRT,bash,"backtrace, cgroup, core_backtrace, dso_list, environ, limits, maps, open_fds, proc_pid_status"
1163412,CLOSED-CURRENTRELEASE,24,Reopened,PKG: Package unused components like systemd-resolved in a sub-package,systemd,systemd.spec
1163428,CLOSED-CURRENTRELEASE,25,Reopened,rich rule with destination and no element,firewalld,
1163812,CLOSED-ERRATA,25,,Cannot control ejabberd with ejabberdctl,ejabberd,ejabberd-ejabberdctl-fix.patch
1164975,CLOSED-ERRATA,24,,wpa_supplicant fails to start (timeout waiting for systemd-tty-ask-password-agent),wpa_supplicant,
1165023,CLOSED-NEXTRELEASE,24,Reopened,Unowned dir /usr/share/grilo-0.2,grilo,
1165554,CLOSED-NEXTRELEASE,26,Reopened,Request to retire perl-ZMQ-LibZMQ3,perl-ZMQ-LibZMQ3,
1165555,CLOSED-NEXTRELEASE,26,Reopened,Request to retire perl-ZMQ-LibZMQ2,perl-ZMQ-LibZMQ2,
1166977,CLOSED-ERRATA,24,Reopened,QGIS and QGIS browser icons are broken,qgis,
1169919,CLOSED-CURRENTRELEASE,25,Reopened,Please add EPEL7 branch,python-dbusmock,0001-Make-building-on-EPEL7-possible.patch
1169979,CLOSED-RAWHIDE,24,,fontconfig cache updating does not work reliably during live image generation,fontconfig,"Screenshot from 2014-12-02 14:04:55.png, Screenshot from 2014-12-02 14:05:22.png"
1170765,CLOSED-ERRATA,24,"CommonBugs, Reopened",systemd: all processes in scopes (including user sessions) SIGKILLed immediately on shutdown with no opportunity to shut down cleanly,systemd,"journal, yum.log"
1171881,CLOSED-CURRENTRELEASE,25,Reopened,Do not pollute stdout with asserts,beakerlib,
1173349,CLOSED-RAWHIDE,25,"Reopened, Triaged",wildcard doesn't work properly when downgrade,dnf,
1173684,CLOSED-ERRATA,25,Reopened,please build for EPEL,R-rlecuyer,
1175970,CLOSED-WONTFIX,25,Reopened,enable kdump addon by default,kexec-tools,
1176124,CLOSED-ERRATA,24,,[abrt] openobex: ____strtoul_l_internal(): obex-check-device killed by SIGSEGV,openobex,"backtrace, cgroup, core_backtrace, dso_list, environ, exploitable, limits, maps, open_fds, proc_pid_status, var_log_messages"
1176314,CLOSED-WONTFIX,24,Reopened,RFE: inplement switching WMs,control-center,
1176483,CLOSED-ERRATA,25,Reopened,livecd: Add kdump anaconda addon to install image,spin-kickstarts,
1177670,CLOSED-CURRENTRELEASE,25,,Switch to inform to reduce background traffic while on mobile connections,NetworkManager,
1177785,CLOSED-RAWHIDE,24,Triaged,add hawkey.Selector epoch support,dnf,
1177996,CLOSED-ERRATA,24,,Wrong udev rules,openocd,file_1177996.txt
1178284,CLOSED-ERRATA,24,Reopened,mediatomb sortation of songs is wrong with onw js import,mediatomb,mediatomb-0.12.1.addCdsObjectContainerFix.patch
1179166,CLOSED-CURRENTRELEASE,24,,SELinux is preventing /usr/bin/nvidia-modprobe from read access on the file. (and write too),selinux-policy-targeted,
1179220,CLOSED-CURRENTRELEASE,25,Reopened,Utilize system-wide crypto-policies,freeipa,
1179236,CLOSED-CURRENTRELEASE,24,,Utilize system-wide crypto-policies,openvswitch,
1179286,CLOSED-CURRENTRELEASE,24,,Utilize system-wide crypto-policies,empathy,
1179297,CLOSED-ERRATA,24,,Utilize system-wide crypto-policies,gnustep-base,
1179313,CLOSED-CURRENTRELEASE,24,,Utilize system-wide crypto-policies,libinfinity,
1179317,CLOSED-ERRATA,24,Reopened,Utilize system-wide crypto-policies,librelp,librelp-1.2.13-crypto-compliance.patch
1179339,CLOSED-CURRENTRELEASE,25,,Utilize system-wide crypto-policies,rsyslog,
1180851,CLOSED-ERRATA,24,,missing symbol in libbx_usb_uhci.so,bochs,bochs.log
1180925,CLOSED-ERRATA,24,Reopened,srptools: Configuration file /usr/lib/systemd/system/srpd.service is marked executable,srptools,
1182757,CLOSED-RAWHIDE,25,"Reopened, Triaged",installing both arch packages in oneline installing only one pkg,dnf,
1182918,CLOSED-RAWHIDE,25,,hibernate-validator: Upgrade to 5.2.4.Final,hibernate-validator,"0001-update-to-5.1.3.Final.patch, 0001-update-to-5.2.2.Final.patch"
1183077,CLOSED-RAWHIDE,24,,parted(8) man page mkpart part-type should be name for GPT disks,parted,
1183877,CLOSED-ERRATA,26,,thrift-0.9.3 is available,thrift,"0001-update-to-0.9.2-to-get-it-built-on-aarch64.patch, 0001-update-to-0.9.2-to-get-it-built-on-aarch64.patch"
1185600,CLOSED-ERRATA,25,Reopened,PyPE fails to run with wxPython 3.0 in Rawhide,PyPE,
1185742,CLOSED-ERRATA,24,,Redirect multimedia not work,freerdp,
1185793,CLOSED-RAWHIDE,24,Reopened,AttributeError: 'NoneType' object has no attribute 'name',anaconda,"anaconda-tb, anaconda.log, environ, ks.cfg, lsblk_output, nmcli_dev_list, os_info, program.log, storage.log, syslog, ifcfg.log, packaging.log, anaconda-dont-update-repos-while-theyre-updating.patch"
1187409,CLOSED-RAWHIDE,24,,Update gtk-icon-theme-name in default gtkrc,gnome-themes-standard,"Update-default-gtk-icon-theme-name-1187409.patch, Update-default-gtk-icon-theme-name-1187409.patch"
1189767,CLOSED-CURRENTRELEASE,24,Reopened,setautomntent: lookup(sss): setautomntent: No such file or directory,sssd,syslog.txt
1189877,CLOSED-NEXTRELEASE,26,Reopened,usleep - start to display deprecation warning,initscripts,
1190261,CLOSED-WONTFIX,24,Reopened,FTBFS on armv7 due to idris pkg compilation crashing with ghc-7.8.4,idris,
1190364,CLOSED-CURRENTRELEASE,24,Reopened,SELinux is preventing telinit from using the 'setrlimit' accesses on a process.,selinux-policy,
1190388,CLOSED-WONTFIX,24,Reopened,[abrt] system-config-audit: main_window.py:256:__enabled_change_button_clicked:TypeError: 'tuple' object is not callable,system-config-audit,"backtrace, environ"
1190916,CLOSED-ERRATA,25,Reopened,bibus: deprecation warning with wxPython 3.0,bibus,
1191044,CLOSED-ERRATA,24,,SELinux is preventing /usr/sbin/collectd from write access on the sock_file pdns.controlsocket,selinux-policy,
1191611,CLOSED-ERRATA,26,"Reopened, Triaged",dnf install cannot install older kernel,dnf,
1192009,CLOSED-ERRATA,25,,wildfly: Package is not installable,wildfly,
1192189,CLOSED-ERRATA,24,Triaged,Both kernel-debug-core and kernel-core installed if xl2tpd package is in the package set,dnf,
1192801,CLOSED-ERRATA,24,,Directory is owned which shouldn't,bti,
1193445,CLOSED-ERRATA,24,"Security, SecurityTracking",flac: various flaws [fedora-all],flac,
1194105,CLOSED-RAWHIDE,25,Reopened,spe has UI issues with wxPython 3 in F22/Rawhide,spe,
1194622,CLOSED-ERRATA,24,Reopened,undertow: Upgrade to 1.3.19.Final,undertow,0001-Upgrade-to-1.2.10.Final.patch
1196287,CLOSED-WONTFIX,24,Reopened,system-config-users doesn't allow assigning an existing group to a new user in the create user dialog,system-config-users,
1196480,CLOSED-RAWHIDE,24,Reopened,read does not set variable on timeout,bash,
1196549,CLOSED-RAWHIDE,24,,awstats contain non-free icons,awstats,
1196710,CLOSED-CURRENTRELEASE,24,Reopened,Failure with a list width exitcode = 2,lsyncd,lsyncd.conf
1198229,CLOSED-ERRATA,25,Reopened,evince-browser-plugin should be Gtk2 only,evince,
1199432,CLOSED-RAWHIDE,25,"Reopened, Triaged",dnf package spec should contain wildcard in release part,dnf,
1199494,CLOSED-NEXTRELEASE,24,,gnome-settings-daemon dislikes systemd private namespace directories,gnome-settings-daemon,
1200122,CLOSED-CURRENTRELEASE,24,,Fedora Atomic should report atomic in os-release,fedora-release,
1200565,CLOSED-WONTFIX,24,Reopened,SELinux is preventing chrome-sandbox from 'write' accesses on the file oom_score_adj.,selinux-policy,
1201997,CLOSED-CURRENTRELEASE,24,Reopened,Front Panel  Sound Jack (headphone) not working with F21 and Fedora 22 Beta,pulseaudio,"pactl.out, alsa-info.txt.mxHd8Fgs4s, alsa-info.txt.6DsgtqXyzw, alsa-info.txt.mxHd8Fgs4s, alsaInfo.output"
1203793,CLOSED-ERRATA,25,,xonotic-dedicated fails to build,xonotic,
1204510,CLOSED-ERRATA,25,,gnustep-base should have Requires: make,gnustep-base,
1204638,CLOSED-ERRATA,24,,weld-core: upgrade to 2.3.2.Final,weld-core,
1205261,CLOSED-ERRATA,25,,jbossws-cxf: Upgrade to 5.1.3.Final,jbossws-cxf,
1205574,CLOSED-ERRATA,24,Reopened,"dleyna-server: Crashes when trying to access invalid GHashTables (dls_upnp_t->device_udn_map, dls_upnp_t->device_uc_map)",dleyna-server,"backtrace, cgroup, core_backtrace, dso_list, environ, exploitable, limits, maps, open_fds, proc_pid_status"
1206044,CLOSED-RAWHIDE,26,,/usr/share/licenses need to be owned by runtime,scl-utils,
1206081,CLOSED-CURRENTRELEASE,25,,Disabled Repositories Support,Changes Tracking,
1208166,CLOSED-CURRENTRELEASE,25,,excessive memory allocation of koji download-build,koji,
1209393,CLOSED-CURRENTRELEASE,26,"EasyFix, Triaged",[UX] More verbose error when installing other-architecture package,libsolv,
1209862,CLOSED-NEXTRELEASE,26,"Reopened, Triaged",Installing dnf-plugins-extras causes errors about /var/lib/dnf/plugins/local,dnf-plugins-extras,
1211194,CLOSED-WONTFIX,25,Reopened,Enable inbuilt test suite,rsyslog,
1211761,CLOSED-CURRENTRELEASE,24,,"change-media --eject fails the first time with 'drive-ide0-0-0' is locked', but succeeds next try",libvirt,
1211907,CLOSED-ERRATA,24,,Updates are installed even though they were disabled in installation source,anaconda,"packaging.log, anaconda.log, dnf.log, dnf.rpm.log, journal.log, packaging.log, program.log, syslog, distro-sync.out, no-updates.png, anaconda-ks.cfg, anaconda.log, dnf.log, journal.log, packaging.log, program.log, syslog"
1212125,CLOSED-RAWHIDE,24,,Error: g-bd-md-error-quark: malformed or invalid UUID: (null) (1),python-blivet,"anaconda-tb, anaconda.log, dnf.log, environ, lsblk_output, nmcli_dev_list, os_info, program.log, storage.log, syslog, ifcfg.log"
1213263,CLOSED-NEXTRELEASE,25,,RFE: allow listing all metrics for an instance,pcp,
1213629,CLOSED-NEXTRELEASE,24,,Python 3 support for gdal,gdal,"gdal-python3.patch, gdal-python3.diff, python3-support.patch, gdal-python3.patch, gdal-python3.patch"
1214032,CLOSED-CURRENTRELEASE,24,,Japanese input works at first login into KDE but does not work at the second login,ibus,"kde-first-and-second-login.png, log"
1214128,CLOSED-ERRATA,25,Reopened,PHP Deprecated:  Non-static method fills logs,gallery2,"gallery2.diff, stringparser.diff, gallery2_updated.diff, gallery_diffs.tgz, gallery_diffs.tgz, err.httpd, err.gall2, test, exifhelper.patch"
1214190,CLOSED-CURRENTRELEASE,24,Patch,"Add rlIsCentOS to do the right thing on CentOS, similar to rlIsRHEL",beakerlib,
1214462,CLOSED-CURRENTRELEASE,24,,[abrt] gnome-shell: meta_wayland_surface_configure_notify(): gnome-shell killed by SIGSEGV,mutter,"backtrace, cgroup, core_backtrace, dso_list, environ, limits, maps, mountinfo, namespaces, open_fds, proc_pid_status, var_log_messages, 0001-window-first-remove-window-and-then-unset-surface-wh.patch"
1214619,CLOSED-ERRATA,26,Reopened,Tracker for golang-github-onsi-ginkgo,golang-github-onsi-ginkgo,
1214655,CLOSED-CURRENTRELEASE,25,Reopened,"In Gnome Wayland, marking text with the mouse doesnt put it into the cut buffer, only Control-C (Or Shift-Control-C in gnome-terminal) does",wayland,
1214731,CLOSED-ERRATA,26,Reopened,Tracker for golang-github-spf13-pflag,golang-github-spf13-pflag,
1214774,CLOSED-ERRATA,26,Reopened,Tracker for golang-github-rackspace-gophercloud,golang-github-rackspace-gophercloud,
1214778,CLOSED-ERRATA,24,Reopened,Tracker for golang-github-prometheus-procfs,golang-github-prometheus-procfs,
1214784,CLOSED-ERRATA,24,Reopened,Tracker for golang-github-prometheus-client_golang,golang-github-prometheus-client_golang,
1215372,CLOSED-CURRENTRELEASE,24,,"qemu abort()'s in qemu_ram_alloc if too much -m requested, it should only exit(1)",qemu,"backtrace, cgroup, core_backtrace, dso_list, environ, limits, maps, mountinfo, namespaces, open_fds, proc_pid_status, boxes-unknown.log"
1215626,CLOSED-ERRATA,26,Reopened,Tracker for golang-github-emicklei-go-restful,golang-github-emicklei-go-restful,
1217202,CLOSED-ERRATA,24,,[abrt] virt-manager: libusb_get_next_timeout(): python2.7 killed by SIGSEGV,spice-gtk,"backtrace, cgroup, core_backtrace, dso_list, environ, exploitable, limits, maps, open_fds, proc_pid_status"
1217428,CLOSED-ERRATA,24,,opensips-perl: UNIVERSAL->import is deprecated,opensips,
1218425,CLOSED-NEXTRELEASE,24,,[abrt] firewall-config: wl_log(): python2.7 killed by SIGTRAP,gtk3,"backtrace, cgroup, core_backtrace, dso_list, environ, limits, maps, mountinfo, namespaces, open_fds, proc_pid_status"
1218793,CLOSED-ERRATA,25,Reopened,Update to 2.4.1,wise2,
1219867,CLOSED-RAWHIDE,24,"Regression, Reopened, Triaged",include option in repository should not effect the rest repos,dnf,
1220078,CLOSED-ERRATA,24,,libsndfile github issue 101 : SIGSEGV,libsndfile,"backtrace, cgroup, core_backtrace, dso_list, environ, exploitable, limits, maps, open_fds, proc_pid_status, var_log_messages"
1220671,CLOSED-CURRENTRELEASE,24,,[ GTK3 ][Dark theme] white text on white background,firefox,
1220730,CLOSED-ERRATA,24,,Please package CP2K data directory,cp2k,
1221395,CLOSED-CURRENTRELEASE,24,,handle dependency to polkitd so that systemd understands it,NetworkManager,
1221596,CLOSED-CURRENTRELEASE,24,,[wayland] Cogl-WARNING **: Failed to set crtc mode [] : Permission denied,gnome-shell,
1221982,CLOSED-ERRATA,24,,SeqAn is not built on s390/s390x,seqan,
1222330,CLOSED-NEXTRELEASE,24,,Please update PHP/PEAR Math_BigInteger-1.0.2 available since 2014-02-12,php-phpseclib-math-biginteger,
1223058,CLOSED-ERRATA,24,,[abrt] deluge-gtk: addtorrentdialog.py:258:add_from_magnets:UnboundLocalError: local variable 'info_hash' referenced before assignment,deluge,"backtrace, environ"
1224067,CLOSED-NEXTRELEASE,25,"Reopened, Triaged",hawkey: Segfaul if repo primary file fails to open,hawkey,
1224789,CLOSED-NEXTRELEASE,24,,preview doesn't work with rar files,ark,
1224908,CLOSED-RAWHIDE,25,"Reopened, Triaged",dnf fails to verify gpgkey,dnf,
1225184,CLOSED-ERRATA,25,CommonBugs,Live installer does not detect RAID devices,anaconda,"var_live_raid_error_ws.tar.bz2, proc_live_raid_error_ws.tar.bz2, parted, etc_live_raid_error_ws.tar.bz2, mdadm_live_raid_error_ws.tar.bz2, RPM.qa.version_numbers_in_extra_column.live, RPM.qa.live, boot.log, dmesg, fed23.tar.gz, f21-mdstat-mdadm.txt, f21-fdisk.txt, f21-dmesg.txt, f24-dmesg.txt, f24-fdisk.txt, anaconda.log, storage.log, fdisk.txt, dmraid.txt, smartctl.txt, file_1225184.txt, anaconda.log, storage.log, bug1225184_20160829_storage.log, bug1225184_20160829_program.log, bug1225184_20160829_anaconda.log, bug1225184_20160829_Screenshot from 2016-08-29 12-19-05.png, bug1225184_20160830_program.log, bug1225184_20160830_storage.log, Screenshot from 2016-08-30 12-35-49.png, bug1225184_c87_storage.log, bug1225184_c87_program.log, 5.txt"
1226009,CLOSED-RAWHIDE,26,Triaged,provide compatibility options,dnf,
1226065,CLOSED-RAWHIDE,24,,AttributeError: 'DiskDevice' object has no attribute 'disk',python-blivet,"anaconda-tb, anaconda.log, environ, journalctl, lsblk_output, nmcli_dev_list, os_info, program.log, storage.log, ifcfg.log, 20150630-commit-failure-recovery-1192571-master.0.patch"
1226724,CLOSED-NEXTRELEASE,25,"Reopened, Triaged",dnf redownloads metadata already downloaded with the same checksums,dnf,
1226991,CLOSED-CANTFIX,24,,Invalid link for log4j-1.2.17.jar,wildfly,
1227001,CLOSED-RAWHIDE,24,"Reopened, Triaged",Using DNF to with --installroot fails where yum works,dnf,
1227273,CLOSED-ERRATA,26,Reopened,Tracker for golang-googlecode-goauth2,golang-googlecode-goauth2,
1227493,CLOSED-ERRATA,24,Reopened,mailgraph service will not start,mailgraph,mailgraph.patch
1227770,CLOSED-WONTFIX,24,Reopened,Gdm doesn't show up in qemu environment with cirrus graphics card (KVM or Xen),wayland,
1228354,CLOSED-CURRENTRELEASE,25,,[RFE] Add functionality for configuring kdump,cockpit,
1228426,NEW-,25,"Reopened, Security","When activating OpenVPN without DHCP6, random traffic will be routed without VPN",NetworkManager,
1229218,CLOSED-RAWHIDE,24,Reopened,Conflicting default keyboard shortcuts,libxfce4ui,
