bug_id,bug_status,version,keywords,short_desc,component,attachments
1001239,CLOSED-RAWHIDE,24,,userspace-rcu : duplicate documentation files / potentially conflicting,userspace-rcu,
1001268,CLOSED-ERRATA,24,,ocaml-mlgmpidl : duplicate documentation files / potentially conflicting,ocaml-mlgmpidl,ocaml-mlgmpidl.spec.diff
1002122,CLOSED-RAWHIDE,24,Reopened,totem : insufficient or ancient Obsoletes,totem-pl-parser,
1004427,CLOSED-ERRATA,25,Reopened,python-dns: random number generator lacks fork protection,python-dns,
1005916,CLOSED-ERRATA,25,Reopened,Importing PGP key fails because seahorse tries to use gpg instead of gpg2,seahorse,strace seahorse.txt
1006702,CLOSED-ERRATA,26,FutureFeature,Enable SRP Authentication,gnutls,
1014341,CLOSED-CURRENTRELEASE,24,,Can't configure Huawei E398 LTE/UMTS/GSM Modem for access to internet,usb_modeswitch,out-48.ogv
1014846,CLOSED-WONTFIX,25,Reopened,numerous memory-corruption bugs shown by valgrind/glibc,festival,
1018162,CLOSED-RAWHIDE,24,Reopened,"only testing LIVE CD, changes system time in BIOS",spin-kickstarts,
1020835,CLOSED-ERRATA,25,,snappy-java-1.1.2.6  is available,snappy-java,"0001-update-to-1.1.0.patch, 0001-update-to-1.1.0.patch, 0001-update-to-1.1.0.patch, 0001-update-to-1.1.2.patch, 0001-update-to-1.1.2.1.patch"
1021795,CLOSED-CURRENTRELEASE,25,Reopened,"spice wants to run 'gstack' on itself to log backtrace, upsets selinux",spice,
1022649,CLOSED-ERRATA,25,,evince: Error setting extended attribute 'security.selinux': Operation not supported,evince,evince-selinux-error.png
1024800,CLOSED-WONTFIX,25,Reopened,python-bunch: Support Python 3,python-bunch,
1024834,CLOSED-CANTFIX,25,"FutureFeature, Reopened",python-krbV: Support Python 3,python-krbV,
