"Bug ID","Product","Component","Assignee","Status","Resolution","Summary","Changed"
1324646,"Fedora","pulp","Randy Barlow","CLOSED","ERRATA","Pulp <= 2.8.1 is vulnerable to CVE-2016-3095","2016-04-11 08:43:43"
1349469,"Fedora","tomcat","Coty Sutherland","CLOSED","ERRATA","CVE-2016-3092 tomcat: Usage of vulnerable FileUpload package can result in denial of service [fedora-all]","2016-09-01 14:53:34"
1362017,"Fedora","nettle","David Woodhouse","CLOSED","CURRENTRELEASE","CVE-2016-6489 nettle: RSA code is vulnerable to cache-timing related attacks [fedora-all]","2016-08-08 03:41:33"
1362018,"Fedora","mingw-nettle","Michael Cronenworth","CLOSED","ERRATA","CVE-2016-6489 mingw-nettle: nettle: RSA code is vulnerable to cache-timing related attacks [fedora-all]","2016-11-19 16:11:32"
