"Bug ID","Product","Component","Assignee","Status","Resolution","Summary","Changed"
1427918,"Fedora","qpid-proton","Irina Boverman","CLOSED","ERRATA","qpid-proton: FTBFS - error: -Wformat-security ignored without -Wformat [-Werror=format-security]","2017-06-09 14:55:22"
1383855,"Fedora","lsyncd","Jason Taylor","CLOSED","CURRENTRELEASE","lsyncd 2.1.6 is available, fixes security vulnerability CVE-2014-8990","2017-03-04 19:33:24"
1427891,"Fedora","cvc4","Jerry James","CLOSED","RAWHIDE","cvc4: FTBFS - cc1plus: error: -Wformat-security ignored without -Wformat [-Werror=format-security]","2017-03-03 17:29:18"
1444774,"Fedora","coreutils","Kamil Dudka","CLOSED","ERRATA","heap overflow security issue in date(1) and touch(1)","2017-05-01 14:17:10"
1432558,"Fedora","libuser","Miloslav Trmač","CLOSED","RAWHIDE","FTBFS: libuser doesn't build on current F26 due to -Werror=format-security","2017-03-16 13:25:19"
