"Bug ID","Product","Component","Assignee","Status","Resolution","Summary","Changed"
1368412,"Fedora","borgbackup","Benjamin Pereto","CLOSED","ERRATA","borgbackup 1.0.7 is available (contains important security fix)","2016-09-09 12:50:47"
1353558,"Fedora","kernel","Kernel Maintainer List","CLOSED","ERRATA","Starting docker.service produces SELinux error op=security_compute_av perms=siginh","2016-09-02 19:19:59"
1337686,"Fedora","blueman","leigh scott","CLOSED","ERRATA","[abrt] blueman: connection.py:651:call_blocking:dbus.exceptions.DBusException: org.freedesktop.DBus.Error.NoReply: Did not receive a reply. Possible causes include: the remote application did not send a reply, the message bus security policy blocked ...","2016-05-23 16:04:55"
1355731,"Fedora","guake","Pierre-YvesChibon","CLOSED","ERRATA","[abrt] guake: common.py:53:test_gconf:GError: Configuration server couldn't be contacted: D-BUS error: Did not receive a reply. Possible causes include: the remote application did not send a reply, the message bus security policy blocked the reply, ...","2016-09-13 21:20:23"
1349326,"Fedora","wordpress","Remi Collet","CLOSED","ERRATA","CVE-2016-5832 CVE-2016-5833 CVE-2016-5834 CVE-2016-5835 CVE-2016-5836 CVE-2016-5837 CVE-2016-5838 CVE-2016-5839 wordpress: 4.5.3 Security Release [fedora-all]","2016-06-30 17:27:29"
1374480,"Fedora","wordpress","Remi Collet","CLOSED","ERRATA","CVE-2016-7168 CVE-2016-7169 wordpress: two security issues fixed in 4.6.1 [fedora-all]","2016-09-21 20:26:19"
1349502,"Fedora","phpMyAdmin","Robert Scheck","CLOSED","ERRATA","CVE-2016-5701 CVE-2016-5702 CVE-2016-5703 CVE-2016-5704 CVE-2016-5705 CVE-2016-5706 CVE-2016-5730 CVE-2016-5731 CVE-2016-5732 CVE-2016-5733 CVE-2016-5734 CVE-2016-5739 phpMyAdmin: 4.6.3, 4.4.15.7 and 4.0.10.16 security releases [fedora-all]","2016-07-03 06:56:36"
1375885,"Fedora","shiro","gil cattaneo","CLOSED","ERRATA","CVE-2016-6802 Apache Shiro: Security servlet filters bypass [fedora-24]","2016-09-22 20:23:49"
1364902,"Fedora","tor","Jamie Nguyen","CLOSED","CURRENTRELEASE","tor: Version 0.2.8.6 contains security fixes [fedora-all]","2016-10-02 14:01:43"
1386500,"Fedora","tor","Jamie Nguyen","CLOSED","ERRATA","CVE-2016-8860 tor: Version 0.2.8.9 contains security fixes [fedora-all]","2016-11-01 12:23:12"
