"Bug ID","Product","Component","Assignee","Status","Resolution","Summary","Changed"
1320331,"Fedora","virt-manager","Cole Robinson","CLOSED","NEXTRELEASE","Forcing TLS on Spice channels via defaultMode='secure' causes connection failure.","2016-06-18 10:44:12"
1254208,"Fedora","kernel","Kernel Maintainer List","CLOSED","CURRENTRELEASE","Crashes trying to load UEFI certs with Secure Boot enabled","2016-07-22 04:31:24"
1319452,"Fedora","kernel","Kernel Maintainer List","CLOSED","ERRATA","4.5.0-301 x86/mm: Found insecure W+X mapping at address . . .","2016-05-26 15:23:06"
1373602,"Fedora","kernel","Kernel Maintainer List","CLOSED","CURRENTRELEASE","Kernel Panic 4.7.2.201.FC.24.x86.64 with Secure Boot Enable","2017-01-18 12:07:16"
1260821,"Fedora","mariadb","Michal Schorm","CLOSED","CURRENTRELEASE","mysql_secure_installation ignores custom config","2017-02-09 15:55:19"
1347124,"Fedora","python-inotify","Terje Røsten","CLOSED","ERRATA","Arbitrary code execution due to insecure loading of Python module(s) from CWD","2016-10-03 02:20:31"
